ts,p1,p2,p3,p4
5280,402,215,0,0
5290,442,227,20,11
5300,387,214,0,0
5310,433,224,0,0
5320,413,220,32,20
5330,397,215,0,0
5340,442,226,20,11
5350,388,214,0,1
5360,431,224,0,0
5370,416,220,32,20
5380,405,215,0,0
5390,455,226,20,11
5400,407,214,0,1
5410,457,224,0,0
5420,446,219,32,20
5430,434,215,0,0
5440,486,227,20,10
5450,438,214,0,1
5460,485,224,0,0
5470,469,220,32,20
5480,454,215,0,0
5490,504,227,19,10
5500,454,214,0,1
5510,501,224,0,0
5520,487,220,32,20
5530,473,215,0,0
5540,525,227,19,10
5550,472,214,0,1
5560,515,224,0,0
5570,493,220,32,20
5580,470,215,0,0
5590,512,227,19,10
5600,453,215,0,2
5610,493,224,0,0
5620,471,220,32,20
5630,447,214,0,0
5640,492,227,18,9
5650,436,215,0,1
5660,474,224,0,0
5670,456,220,32,20
5680,436,215,0,0
5690,488,227,18,9
5700,434,215,0,2
5710,473,224,0,0
5720,452,220,32,20
5730,429,214,0,0
5740,476,227,18,9
5750,421,214,1,2
5760,461,224,0,0
5770,446,220,32,20
5780,426,214,0,0
5790,481,227,18,9
5800,427,215,1,2
5810,468,224,0,0
5820,450,220,32,20
5830,427,214,0,0
5840,480,227,17,8
5850,426,215,1,2
5860,466,224,0,0
5870,449,221,32,20
5880,427,214,0,0
5890,481,228,17,8
5900,430,215,1,2
5910,468,224,0,0
5920,450,221,32,20
5930,424,214,0,0
5940,471,227,17,8
5950,413,215,2,2
5960,445,224,0,0
5970,424,220,32,20
5980,396,214,0,0
5990,443,227,16,8
6000,394,215,2,3
6010,438,223,0,0
6020,422,220,33,20
6030,400,214,0,0
6040,457,227,16,8
6050,410,215,2,3
6060,445,224,0,0
6070,427,220,32,20
6080,399,213,0,0
6090,448,227,16,7
6100,399,215,2,3
6110,437,224,0,0
6120,423,221,32,20
6130,400,214,0,0
6140,455,228,15,7
6150,406,216,3,3
6160,446,224,0,0
6170,436,221,33,20
6180,416,214,0,0
6190,474,228,15,7
6200,422,216,3,3
6210,462,225,0,0
6220,452,222,33,20
6230,429,214,0,0
6240,485,228,15,7
6250,436,216,3,3
6260,474,224,0,0
6270,460,221,32,20
6280,430,214,0,0
6290,482,228,15,7
6300,425,216,3,3
6310,455,224,0,0
6320,436,221,33,20
6330,402,214,0,0
6340,446,228,14,7
6350,389,216,3,3
6360,422,224,0,0
6370,407,221,33,20
6380,377,214,0,0
6390,428,228,14,6
6400,375,216,4,4
6410,408,224,0,0
6420,398,221,33,20
6430,374,214,0,0
6440,436,228,14,6
6450,397,216,4,4
6460,442,224,0,0
6470,445,221,33,20
6480,435,214,0,0
6490,508,227,13,6
6500,471,216,5,4
6510,524,224,0,0
6520,527,221,33,20
6530,510,214,0,0
6540,578,228,13,6
6550,529,216,5,4
6560,568,224,0,0
